,county,grades,students,teachers,calworks,lunch,computer,expenditure,income,english,read,math,average_score,lat,lng,normalized_average_score
91,Lake,KK-08,300,15,48.34,72.19,55,5869.39,11.55,0.67,640.9,633.8,637.35,38.7518,-122.6221,-0.8820784612982144
92,Santa Clara,KK-08,457,24,16.82,67.71,50,6462.13,19.71,38.51,644.9,630.4,637.65,37.3116,-121.9357,-0.8663331967508708
93,Butte,KK-08,146,8,25.34,54.11,34,6231.6,7.11,0.0,646.1,629.8,637.95,40.0871,-121.537,-0.8505879322035214
94,San Mateo,KK-08,460,24,10.59,66.95,71,4993.87,13.73,17.17,633.2,642.7,637.95,37.2658,-122.3007,-0.8505879322035214
95,Tulare,KK-08,354,17,10.28,59.72,28,4663.81,10.1,9.89,636.7,639.3,638.0,35.8114,-118.6364,-0.8479637214456327
96,Los Angeles,KK-08,1841,95,25.26,64.75,315,6107.11,13.76,19.39,640.4,636.0,638.2,34.0019,-118.2106,-0.8374668784140664
97,Imperial,KK-08,3760,183,26.9,65.8,717,5324.23,9.66,36.49,636.2,640.4,638.3,33.4279,-114.7273,-0.8322184568982891
98,Imperial,KK-08,500,22,18.8,83.0,70,5221.46,10.26,39.4,630.4,646.2,638.3,33.4279,-114.7273,-0.8322184568982891
99,Los Angeles,KK-08,5112,246,10.69,59.72,383,5157.78,11.57,28.68,638.6,638.1,638.35,34.0019,-118.2106,-0.8295942461403946
100,Kern,KK-08,146,7,13.7,66.44,28,5131.12,7.41,13.7,637.5,639.6,638.55,35.1779,-119.5472,-0.8190974031088342
101,Kern,KK-08,2141,105,26.5,65.38,134,5279.35,12.08,11.35,636.9,640.5,638.7,35.1779,-119.5472,-0.8112247708351564
102,Sutter,KK-08,610,30,8.52,56.07,144,4704.04,11.28,3.44,640.3,638.2,639.25,38.8981,-121.5729,-0.7823584524983579
103,Mendocino,KK-08,337,16,21.26,60.13,26,6089.91,10.03,15.43,642.7,635.9,639.3,39.8635,-123.7253,-0.7797342417404693
104,San Bernardino,KK-08,4501,227,19.13,63.91,597,5356.83,8.38,17.97,639.9,638.8,639.35,34.176,-114.264,-0.7771100309825748
105,San Benito,KK-08,5718,295,6.84,37.05,313,5144.55,13.63,22.72,641.4,637.6,639.5,36.7904,-121.3105,-0.769237398708903
106,Los Angeles,KK-08,19402,846,20.52,51.24,1182,4906.23,14.13,18.44,641.7,637.8,639.75,34.0019,-118.2106,-0.756116344919448
107,Butte,KK-08,3401,175,52.22,74.27,560,5489.59,11.27,16.17,641.5,638.1,639.8,40.0871,-121.537,-0.7534921341615595
108,Kern,KK-08,2621,136,25.83,64.1,397,5718.55,13.39,2.02,641.4,638.3,639.85,35.1779,-119.5472,-0.7508679234036648
109,Ventura,KK-08,426,20,3.99,64.79,87,4436.15,11.94,9.62,634.3,645.5,639.9,34.258,-118.6662,-0.7482437126457763
110,Fresno,KK-08,205,11,18.54,80.98,24,4895.44,8.26,41.46,643.5,636.7,640.1,36.4042,-120.1341,-0.7377468696142099
111,Los Angeles,KK-08,13668,648,28.18,56.3,1321,5159.22,14.23,9.9,640.4,639.9,640.15,34.0019,-118.2106,-0.7351226588563213
112,Madera,KK-08,342,18,11.4,68.09,98,5490.65,10.47,16.08,637.7,643.3,640.5,36.8799,-120.1147,-0.7167531835510832
113,Orange,KK-06,6518,332,12.28,71.02,499,5172.02,14.24,43.49,638.5,643.0,640.75,33.818,-117.8104,-0.7036321297616283
114,Tulare,KK-08,239,12,15.61,69.62,30,4441.67,14.07,8.79,644.9,636.9,640.9,35.8114,-118.6364,-0.6957594974879564
115,Santa Clara,KK-08,2911,139,11.93,52.97,281,5220.37,15.97,39.02,640.4,641.8,641.1,37.3116,-121.9357,-0.6852626544563901
116,Imperial,KK-08,6272,297,28.72,71.76,1338,5252.81,10.26,53.89,639.3,643.6,641.45,33.4279,-114.7273,-0.666893179151152
117,San Diego,KK-06,10218,508,17.42,70.81,1435,5518.7,10.6,41.13,638.6,644.3,641.45,32.8711,-116.4247,-0.666893179151152
118,Shasta,KK-08,1735,87,47.26,75.5,222,5609.49,10.52,1.38,640.8,642.3,641.55,40.6722,-121.4228,-0.6616447576353748
119,Tulare,KK-08,474,26,20.68,82.07,96,4945.03,11.24,35.44,638.9,644.7,641.8,35.8114,-118.6364,-0.6485237038459197
120,Tehama,KK-08,544,30,20.55,74.86,145,5223.03,10.06,8.64,641.8,642.6,642.2,40.3409,-121.9174,-0.627530017782787
121,Tulare,KK-08,1987,103,15.28,54.65,283,4757.03,11.18,15.35,637.0,647.4,642.2,35.8114,-118.6364,-0.627530017782787
122,Fresno,KK-08,418,22,10.7,63.43,50,5522.16,7.39,19.86,640.2,644.6,642.4,36.4042,-120.1341,-0.6170331747512267
123,Monterey,KK-08,196,10,19.69,47.15,40,6087.61,13.58,3.06,652.6,632.9,642.75,36.8019,-121.7872,-0.5986636994459885
124,Tulare,KK-08,2208,114,14.41,53.21,92,4960.52,9.63,9.87,642.0,644.1,643.05,35.8114,-118.6364,-0.582918434898645
125,Riverside,KK-08,1255,55,11.32,44.26,165,4880.04,15.27,16.1,642.6,643.8,643.2,38.4464,-122.1945,-0.5750458026249673
126,Sonoma,KK-06,1469,78,20.97,80.26,65,6538.42,14.03,43.5,639.4,647.1,643.25,38.3463,-123.0595,-0.5724215918670786
127,Los Angeles,KK-08,7114,332,34.59,82.57,680,4925.66,10.24,45.04,638.9,647.9,643.4,34.0019,-118.2106,-0.5645489595934069
128,Tehama,KK-08,1962,98,24.42,67.75,170,5204.69,9.48,18.2,641.7,645.1,643.4,40.3409,-121.9174,-0.5645489595934069
129,San Mateo,KK-08,7761,361,6.49,44.48,658,4907.41,15.03,15.49,644.2,642.8,643.5,37.2658,-122.3007,-0.5593005380776237
130,Siskiyou,KK-08,216,14,9.42,48.88,47,5923.45,9.78,0.93,652.7,634.3,643.5,41.5815,-121.9151,-0.5593005380776237
131,Kern,KK-08,224,10,7.14,58.04,31,4741.96,13.19,7.59,633.6,653.8,643.7,35.1779,-119.5472,-0.5488036950460573
132,Stanislaus,KK-08,7887,391,16.4,57.07,1004,4954.02,12.22,29.09,645.7,641.7,643.7,37.8272,-120.9144,-0.5488036950460573
133,Tuolumne,KK-08,752,39,11.71,34.08,0,5500.11,14.08,0.13,652.3,636.1,644.2,38.0957,-120.1285,-0.5225615874671474
134,San Mateo,KK-08,9328,537,7.49,39.04,1719,5360.52,25.49,50.86,644.5,643.9,644.2,37.2658,-122.3007,-0.5225615874671474
135,El Dorado,KK-08,548,32,7.66,31.39,35,5685.64,14.87,11.5,652.1,636.7,644.4,38.8026,-120.8946,-0.512064744435587
136,Merced,KK-08,104,5,32.38,49.52,19,5594.2,9.97,13.46,649.5,639.4,644.45,37.2965,-120.3789,-0.5094405336776925
137,San Joaquin,KK-08,275,13,12.73,45.82,4,4692.57,14.58,4.73,643.2,645.7,644.45,37.9299,-121.0043,-0.5094405336776925
138,Fresno,KK-08,443,24,14.22,69.98,52,5085.41,7.39,21.44,644.3,644.7,644.5,36.4042,-120.1341,-0.5068163229198038
139,Sacramento,KK-06,10337,540,37.23,58.55,1268,5456.2,12.34,12.35,646.0,643.1,644.55,38.4636,-121.5022,-0.5041921121619153
140,Stanislaus,KK-08,806,41,7.18,56.68,36,5105.18,12.43,30.15,645.3,644.1,644.7,37.8272,-120.9144,-0.4963194798882375
141,Merced,KK-08,227,11,18.06,59.03,25,5519.68,14.91,15.86,649.7,640.2,644.95,37.2965,-120.3789,-0.48319842609878255
142,Ventura,KK-08,8416,391,12.4,71.91,1333,5065.91,12.67,43.75,642.9,647.3,645.1,34.258,-118.6662,-0.4753257938251108
143,Humboldt,KK-08,149,8,19.46,59.06,30,5182.43,10.33,0.0,656.8,633.7,645.25,40.3987,-123.9474,-0.467453161551439
144,Humboldt,KK-08,220,13,19.13,52.17,48,5960.46,11.97,0.0,658.0,633.1,645.55,40.3987,-123.9474,-0.4517078970040954
145,San Diego,KK-08,4612,232,17.48,65.92,601,5124.84,12.83,16.65,647.7,643.4,645.55,32.8711,-116.4247,-0.4517078970040954
146,Lake,KK-08,590,34,37.44,70.66,71,5655.13,10.04,3.22,644.8,646.4,645.6,38.7518,-122.6221,-0.4490836862462009
147,Humboldt,KK-08,133,7,25.0,72.14,25,5811.69,13.34,0.0,644.3,647.2,645.75,40.3987,-123.9474,-0.4412110539725291
148,Ventura,KK-08,2440,121,7.28,47.03,116,5467.67,9.85,48.52,645.5,646.0,645.75,34.258,-118.6662,-0.4412110539725291
149,Tehama,KK-08,133,6,11.19,35.82,0,5213.09,11.43,0.75,652.5,639.5,646.0,40.3409,-121.9174,-0.42809000018307414
150,Sacramento,KK-08,519,26,16.76,37.96,65,4613.19,15.13,1.93,650.9,641.5,646.2,38.4636,-121.5022,-0.4175931571515078
151,San Joaquin,KK-08,222,11,7.59,40.62,30,4886.98,14.58,13.51,643.0,649.7,646.35,37.9299,-121.0043,-0.409720524877836
152,Siskiyou,KK-08,285,18,26.64,76.28,36,6455.14,10.27,0.0,641.6,651.2,646.4,41.5815,-121.9151,-0.4070963141199474
153,Stanislaus,KK-08,3129,147,26.17,55.79,471,5125.43,15.59,16.71,647.8,645.2,646.5,37.8272,-120.9144,-0.4018478926041642
154,Fresno,KK-08,2019,102,10.25,40.56,167,5193.69,11.24,5.94,649.1,644.0,646.55,36.4042,-120.1341,-0.3992236818462756
155,Orange,KK-08,5620,267,10.31,55.09,316,5002.84,15.05,36.17,644.0,649.4,646.7,33.818,-117.8104,-0.39135104957259786
156,Orange,KK-08,9775,484,13.04,62.5,1218,5337.63,15.41,44.97,645.6,648.2,646.9,33.818,-117.8104,-0.38085420654103747
157,Kings,KK-08,246,11,9.76,43.9,38,5161.2,11.08,16.67,647.8,646.1,646.95,36.4026,-119.7208,-0.3782299957831429
158,Tulare,KK-08,7210,360,26.63,68.86,800,5158.79,10.1,15.19,642.5,651.6,647.05,35.8114,-118.6364,-0.3729815742673657
159,San Diego,KK-06,21338,1051,13.23,45.99,2889,5123.47,14.3,34.34,645.0,649.5,647.25,32.8711,-116.4247,-0.3624847312357994
160,Shasta,KK-08,477,27,25.37,59.54,27,5782.54,11.8,0.0,650.8,643.8,647.3,40.6722,-121.4228,-0.35986052047791073
161,Merced,KK-08,727,39,10.18,32.19,50,4842.61,9.97,13.07,649.4,645.8,647.6,37.2965,-120.3789,-0.34411525593056125
162,Sutter,KK-08,374,18,6.68,7.49,46,4219.41,15.41,4.28,651.6,643.6,647.6,38.8981,-121.5729,-0.34411525593056125
163,San Diego,KK-08,18255,903,11.22,58.53,2001,5081.17,15.29,39.59,645.0,651.0,648.0,32.8711,-116.4247,-0.3231215698674345
164,Los Angeles,KK-08,8787,410,10.02,32.48,1058,5144.99,15.53,21.67,648.0,648.4,648.2,34.0019,-118.2106,-0.3126247268358681
165,Kern,KK-08,797,38,7.03,35.76,60,4674.3,16.29,3.26,648.8,647.7,648.25,35.1779,-119.5472,-0.3100005160779795
166,Sutter,KK-08,140,7,3.57,39.29,40,4830.33,12.88,7.86,651.6,645.1,648.35,38.8981,-121.5729,-0.3047520945621964
167,San Diego,KK-08,235,13,6.81,67.23,51,5621.69,16.62,39.57,643.4,654.0,648.7,32.8711,-116.4247,-0.28638261925695824
168,San Bernardino,KK-06,8294,371,23.2,51.57,1295,4948.87,12.55,10.13,645.1,652.8,648.95,34.176,-114.264,-0.2732615654675033
169,Orange,KK-06,2409,108,8.15,52.12,354,5100.98,14.26,27.52,646.0,652.3,649.15,33.818,-117.8104,-0.2627647224359429
170,Sonoma,KK-06,150,8,3.23,23.23,16,5132.79,18.33,14.0,655.2,643.4,649.3,38.3463,-123.0595,-0.2548920901622711
171,Shasta,KK-08,3981,210,41.77,51.77,606,5358.52,12.75,8.84,649.8,649.2,649.5,40.6722,-121.4228,-0.24439524713070476
172,Tehama,KK-08,2326,117,17.98,52.25,345,5149.19,11.43,6.41,651.3,648.1,649.7,40.3409,-121.9174,-0.2338984040991384
173,Tuolumne,KK-08,501,30,20.63,54.76,163,5373.21,8.83,2.4,652.6,647.1,649.85,38.0957,-120.1285,-0.22602577182546663
174,Siskiyou,KK-08,470,28,31.33,89.7,48,6485.17,11.18,5.96,655.1,645.8,650.45,41.5815,-121.9151,-0.19453524273077355
175,Humboldt,KK-06,575,35,26.43,59.13,59,5504.03,14.23,8.17,654.6,646.5,650.55,40.3987,-123.9474,-0.18928682121499632
176,Contra Costa,KK-08,3519,175,5.54,29.78,789,5105.73,15.03,15.46,655.4,645.8,650.6,38.0446,-122.185,-0.18666261045710175
177,Tuolumne,KK-08,474,26,22.0,54.99,61,5634.73,10.52,0.0,653.6,647.7,650.65,38.0957,-120.1285,-0.18403839969921315
178,Placer,KK-08,223,11,1.75,17.54,60,4980.29,18.63,0.0,651.8,650.0,650.9,39.208,-120.8345,-0.1709173459097582
179,Sonoma,KK-08,92,5,13.54,0.0,22,6113.86,22.53,0.0,656.1,645.7,650.9,38.3463,-123.0595,-0.1709173459097582
180,Sonoma,KK-06,4971,297,14.71,55.1,500,5850.0,18.3,31.82,653.3,649.0,651.15,38.3463,-123.0595,-0.15779629212030324
181,Stanislaus,KK-08,2617,107,8.37,32.37,226,4547.94,11.89,12.8,651.7,650.7,651.2,37.8272,-120.9144,-0.15517208136240868
182,Shasta,KK-08,242,13,28.1,51.65,32,5011.84,9.93,0.0,654.4,648.3,651.35,40.6722,-121.4228,-0.1472994490887369
183,Humboldt,KK-08,780,41,16.54,50.76,75,5261.37,14.2,3.85,662.0,640.8,651.4,40.3987,-123.9474,-0.14467523833084828
184,Tulare,KK-08,324,15,13.0,58.2,50,4276.12,9.63,2.47,647.0,655.9,651.45,35.8114,-118.6364,-0.1420510275729537
185,Glenn,KK-08,140,6,7.86,45.71,25,4566.27,10.64,10.71,654.2,649.4,651.8,39.6002,-122.5376,-0.12368155226772155
186,Sonoma,KK-08,181,10,25.41,66.85,26,6049.5,14.48,0.0,651.9,651.8,651.85,38.3463,-123.0595,-0.12105734150982699
187,Lassen,KK-08,516,26,9.26,24.81,65,4974.28,13.47,1.94,656.3,647.5,651.9,40.893,-121.1781,-0.11843313075193837
188,Imperial,KK-08,108,5,3.67,32.11,25,4432.48,9.66,4.63,648.2,655.8,652.0,33.4279,-114.7273,-0.1131847092361552
189,Lassen,KK-08,419,18,13.95,50.0,58,4924.62,12.71,5.25,656.4,647.8,652.1,40.893,-121.1781,-0.10793628772037203
190,Orange,KK-08,12567,546,7.62,40.4,1099,4603.66,17.82,27.54,651.6,652.6,652.1,33.818,-117.8104,-0.10793628772037203
